round,start_row,start_col,warnsdorff_ms,backtracking_ms
1,2,1,1.413,1.524
2,5,4,1.945,1.829
3,2,2,1.368,1.481
4,7,1,1.378,1.479
5,1,2,1.394,1.506
6,4,4,1.980,2.498
7,1,4,1.703,1.785
8,7,4,1.390,1.682
9,8,5,1.378,1.474
10,7,6,1.456,1.487
11,5,3,1.349,1.621
12,4,6,1.357,1.446
13,2,2,1.380,1.461
14,7,2,1.364,1.467
15,6,6,1.342,1.481
16,5,1,2.364,2.774
17,8,2,2.803,2.664
18,7,2,1.371,1.477
19,5,6,1.355,1.474
20,4,2,2.336,1.982
